"","Price","Days_on_Market","Number_of_Bedrooms","Number_of_Bathrooms","Building_Type","Rental_Size","Pet_Friendliness"
"875",2519,210,1,1,"Apartment",738,"No"
"877",2200,219,1,1,"Apartment",529,"Yes"
"880",2925,221,2,1,"Apartment",830,"Yes"
"881",2679,212,2,1,"Apartment",932,"Yes"
"882",2729,212,2,1,"Apartment",883,"No"
"883",1500,212,0,1,"Apartment",500,"No"
"884",2142,212,0,1,"Apartment",393,"No"
"885",2000,212,1,1,"Apartment",472,"Yes"
"886",2263,212,1,1,"Apartment",696,"No"
"887",2040,212,1,1,"Apartment",404,"No"
"888",2500,212,2,1,"Apartment",529,"Yes"
"889",2680,212,2,1,"Apartment",910,"Yes"
"890",2640,212,2,1,"Apartment",791,"Limited"
"891",1949,212,0,1,"Apartment",386,"No"
"892",2852,212,2,1,"Apartment",930,"No"
"893",1700,212,1,1,"Basement",470,"No"
"894",3000,212,2,1,"Duplex/Triplex",1100,"Limited"
"896",1950,212,0,1,"Condo",330,"Limited"
"897",2600,212,2,1.5,"Condo",934,"Limited"
"903",2500,212,2,1,"Apartment",800,"Limited"
"904",2200,212,2,1,"Apartment",800,"Limited"
"905",1850,212,0,1,"Apartment",225,"Limited"
"906",2200,212,1,1,"Apartment",700,"Limited"
"907",1750,212,1,1,"Apartment",190,"Yes"
"908",1850,212,1,1,"Basement",650,"Limited"
"914",2625,212,1,1,"Apartment",659,"Yes"
"915",2565,212,1,1,"Apartment",530,"Yes"
"916",2500,212,2,1,"Basement",1400,"No"
"917",2600,212,2,1,"Apartment",850,"Limited"
"918",2397,212,1,1,"Apartment",705,"No"
"919",1850,212,1,1,"Apartment",750,"No"
"920",2069,210,0,1,"Apartment",411,"Yes"
"922",2699,224,2,1,"Apartment",986,"Yes"
"924",1895,210,1,1,"Apartment",470,"Limited"
"927",2000,212,2,1,"Basement",650,"Limited"
"928",1950,212,1,1,"House",850,"Limited"
"931",2008,212,0,1,"Apartment",378,"No"
"934",1500,212,1,1,"Apartment",650,"No"
"935",2019,212,0,1,"Apartment",710,"Yes"
